VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE OBS_SID OBS_LAT OBS_LON    FCST        OBS  OBS_QC FCST_CAT OBS_CAT P1    P2    T1  T2     SEEPS
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_115400 20120410_115400 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   72617   44.47  -73.15     5.125       1.8     NA        1       1 0.614 0.871 0.2  6.3   0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71846   52.18  -87.79     0.375       0       NA        1       0 0.673 0.891 0.2  2     0.743
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71607   45.21  -67.24     3.875       5.8     NA        1       1 0.59  0.863 0.2  6.267 0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71625   45.95  -77.31     0.75        0       NA        1       0 0.423 0.808 0.2  3     1.183
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71631   43.98  -80.75     0.375       0       NA        1       0 0.577 0.859 0.2  4     0.867
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71705   46.11  -64.68     1.375       1.2     NA        1       1 0.515 0.838 0.2  7.2   0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71712   45.11  -74.28    13.5         4.5     NA        2       1 0.571 0.857 0.2  5.667 0.584
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71718   48.61  -68.21     2.125       0.6     NA        1       1 0.63  0.877 0.2  5.333 0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71723   46.21  -72.65     0.5         0       NA        1       0 0.608 0.869 0.2  8     0.823
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71877   51.11 -114.01     0           0       NA        0       0 0.738 0.913 0.2  2.2   0
