VERSION MODEL      DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL INDEX OBS_SID  OBS_LAT OBS_LON   OBS_LVL OBS_ELV FCST          OBS           OBS_QC OBS_CLIMO_MEAN OBS_CLIMO_STDEV OBS_CLIMO_CDF FCST_CLIMO_MEAN FCST_CLIMO_STDEV OBS_PRS    OBS_ERR_IN   OBS_ERR_ADJ   OBS_ERR_FIN   PREP_USE ANLY_USE SETUP_QC QC_WGHT
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_070000 20121025_070000 u        NA         NA       u       NA        NA      287    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHTG   14.05 -87.22       1004     994    0.93491       0               9             NA              NA            NA              NA               NA  878.1864       0.52187    0.52187       0.3418          101       -1       NA 3.99334
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_070000 20121025_070000 v        NA         NA       v       NA        NA      287    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHTG   14.05 -87.22       1004     994   -7.51294      -3.1             9             NA              NA            NA              NA               NA  878.1864       0.52187    0.52187       0.3418          101       -1       NA 3.99334
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_045500 20121025_045500 u        NA         NA       u       NA        NA      287    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHSC   14.38 -87.62        638     628    1.20479       1.7             9             NA              NA            NA              NA               NA  890.7959       0.52187    0.52187       0.23869         101       -1       NA 3.99955
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_045500 20121025_045500 v        NA         NA       v       NA        NA      287    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHSC   14.38 -87.62        638     628   -5.29908      -4.8             9             NA              NA            NA              NA               NA  890.7959       0.52187    0.52187       0.23869         101       -1       NA 3.99955
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_055500 20121025_055500 u        NA         NA       u       NA        NA      287    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHSC   14.38 -87.62        638     628    1.20479       0.8             9             NA              NA            NA              NA               NA  890.7959       0.52187    0.52187       0.23869         101       -1       NA 3.99953
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_055500 20121025_055500 v        NA         NA       v       NA        NA      287    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHSC   14.38 -87.62        638     628   -5.29908      -4.5             9             NA              NA            NA              NA               NA  890.7959       0.52187    0.52187       0.23869         101       -1       NA 3.99953
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_065500 20121025_065500 u        NA         NA       u       NA        NA      287    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHSC   14.38 -87.62        638     628    1.20479       0.8             9             NA              NA            NA              NA               NA  890.7959       0.52187    0.52187       0.23869         101       -1       NA 3.99953
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_065500 20121025_065500 v        NA         NA       v       NA        NA      287    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHSC   14.38 -87.62        638     628   -5.29908      -4.5             9             NA              NA            NA              NA               NA  890.7959       0.52187    0.52187       0.23869         101       -1       NA 3.99953
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 u        NA         NA       u       NA        NA      281    NA      NA          0           NA          NA         NA         NA    MPR           1     0    78720   14.05 -87.22       1004     994    0.93491      -0.5             9             NA              NA            NA              NA               NA  878.1864       0.53039    0.53039       0.34544         101       -1       NA 3.99023
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 v        NA         NA       v       NA        NA      281    NA      NA          0           NA          NA         NA         NA    MPR           1     0    78720   14.05 -87.22       1004     994   -7.51294      -3               9             NA              NA            NA              NA               NA  878.1864       0.53039    0.53039       0.34544         101       -1       NA 3.99023
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_050000 20121025_050000 u        NA         NA       u       NA        NA      287    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MNMG   12.15 -86.17001      60      50    1.13376       3               9             NA              NA            NA              NA               NA  988.05682      0.52187    0.52187       0.40208         101       -1       NA 3.99879
