VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR       OBAR      FOBAR       FFBAR       OOBAR       MAE
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC165  NEAREST        1           NA          NA         NA         NA    SL1L2     45845   0.017537  -1.31852     0.13305     5.75434    16.47731 3.04944
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC166  NEAREST        1           NA          NA         NA         NA    SL1L2     62094  -1.00096    0.2049      0.54457     8.43237     9.89378 3.15085
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC165  UW_MEAN_SQUARE 9           NA          NA         NA         NA    SL1L2     45545   0.010864  -1.28885     0.12617     5.47698    16.29786 3.02154
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC166  UW_MEAN_SQUARE 9           NA          NA         NA         NA    SL1L2     61807  -0.99424    0.20713     0.52795     8.32065     9.92989 3.14738
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC165  MIN_SQUARE     9           NA          NA         NA         NA    SL1L2     45545  -0.58188   -1.28885     0.34724     5.53307    16.29786 3.09592
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC166  MIN_SQUARE     9           NA          NA         NA         NA    SL1L2     61807  -1.36479    0.20713     0.44363     9.27246     9.92989 3.23027
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC165  MAX_SQUARE     9           NA          NA         NA         NA    SL1L2     45545   0.6084    -1.28885    -0.16551     6.34194    16.29786 3.1185
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC166  MAX_SQUARE     9           NA          NA         NA         NA    SL1L2     61807  -0.62502    0.20713     0.60128     7.76559     9.92989 3.10912
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 WIND     m/s        Z10      WIND    m/s       Z10     ANALYS DTC165  NEAREST        1           NA          NA         NA         NA    SL1L2     45845   2.78705    4.52655    14.29964    10.11998    28.16446 2.33154
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 WIND     m/s        Z10      WIND    m/s       Z10     ANALYS DTC166  NEAREST        1           NA          NA         NA         NA    SL1L2     62094   4.50574    3.43851    17.37577    28.67471    16.17547 2.38437
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 WIND     m/s        Z10      WIND    m/s       Z10     ANALYS DTC165  UW_MEAN_SQUARE 9           NA          NA         NA         NA    SL1L2     45545   2.78098    4.51172    14.18238     9.88748    27.99252 2.30042
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 WIND     m/s        Z10      WIND    m/s       Z10     ANALYS DTC166  UW_MEAN_SQUARE 9           NA          NA         NA         NA    SL1L2     61807   4.50289    3.43736    17.35106    28.5663     16.17271 2.3772
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 WIND     m/s        Z10      WIND    m/s       Z10     ANALYS DTC165  MIN_SQUARE     9           NA          NA         NA         NA    SL1L2     45545   2.24016    4.51172    11.92703     7.37171    27.99252 2.61991
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 WIND     m/s        Z10      WIND    m/s       Z10     ANALYS DTC166  MIN_SQUARE     9           NA          NA         NA         NA    SL1L2     61807   4.11442    3.43736    15.95439    24.84219    16.17271 2.27026
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 WIND     m/s        Z10      WIND    m/s       Z10     ANALYS DTC165  MAX_SQUARE     9           NA          NA         NA         NA    SL1L2     45545   3.30333    4.51172    16.34667    13.08379    27.99252 2.14858
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 WIND     m/s        Z10      WIND    m/s       Z10     ANALYS DTC166  MAX_SQUARE     9           NA          NA         NA         NA    SL1L2     61807   4.8913     3.43736    18.72851    32.7158     16.17271 2.54287
